Course Name,Duration,Size
"8. Photo Farming, Lamination and Screen Printing TA-M-2H-7P",0 hours 0 minutes and 0 seconds,117.28 GB and 120095.18 MB
"8. Photo Farming, Lamination and Screen Printing TA-M-2H-7P\1_Introduction to Screen Printing",0 hours 20 minutes and 8 seconds,117.28 GB and 120095.18 MB
"8. Photo Farming, Lamination and Screen Printing TA-M-2H-7P\2_Screen Preparation, Frame & Fabric",0 hours 8 minutes and 43 seconds,117.28 GB and 120095.18 MB
"8. Photo Farming, Lamination and Screen Printing TA-M-2H-7P\3_Photo Framing - Basic & Techniques",0 hours 16 minutes and 58 seconds,117.28 GB and 120095.18 MB
"8. Photo Farming, Lamination and Screen Printing TA-M-2H-7P\4_Photo Lamination- Types, Techniques and Benefits",0 hours 24 minutes and 11 seconds,117.28 GB and 120095.18 MB
"8. Photo Farming, Lamination and Screen Printing TA-M-2H-7P\5_The Future of Screen Printing",0 hours 3 minutes and 11 seconds,117.28 GB and 120095.18 MB
"8. Photo Farming, Lamination and Screen Printing TA-M-2H-7P\6_The Changing Trends in Lamination, Framing and Printing",0 hours 18 minutes and 16 seconds,117.28 GB and 120095.18 MB
"8. Photo Farming, Lamination and Screen Printing TA-M-2H-7P\7_Sublimation Cloth & Mug Print",0 hours 23 minutes and 7 seconds,117.28 GB and 120095.18 MB
9. Refrigirator and AC HI-M-2.5H-7P,0 hours 0 minutes and 0 seconds,117.28 GB and 120095.18 MB
9. Refrigirator and AC HI-M-2.5H-7P\Chapter 1 - Concepts of Electricity,0 hours 22 minutes and 5 seconds,117.28 GB and 120095.18 MB
9. Refrigirator and AC HI-M-2.5H-7P\Chapter 10 - Air Conditioning Services,0 hours 33 minutes and 58 seconds,117.28 GB and 120095.18 MB
9. Refrigirator and AC HI-M-2.5H-7P\Chapter 2 - RAC Industry Scope and Overview,0 hours 8 minutes and 2 seconds,117.28 GB and 120095.18 MB
9. Refrigirator and AC HI-M-2.5H-7P\Chapter 3 - Commonly Used Tools,0 hours 28 minutes and 21 seconds,117.28 GB and 120095.18 MB
9. Refrigirator and AC HI-M-2.5H-7P\Chapter 4 - Introduction To Refrigeration,0 hours 12 minutes and 23 seconds,117.28 GB and 120095.18 MB
9. Refrigirator and AC HI-M-2.5H-7P\Chapter 5 - Capacitor and Compressor,0 hours 6 minutes and 49 seconds,117.28 GB and 120095.18 MB
9. Refrigirator and AC HI-M-2.5H-7P\Chapter 6 - Copper Tubes In Refrigeration,0 hours 16 minutes and 42 seconds,117.28 GB and 120095.18 MB
9. Refrigirator and AC HI-M-2.5H-7P\Chapter 7 - Refrigerant Working Process,0 hours 6 minutes and 32 seconds,117.28 GB and 120095.18 MB
9. Refrigirator and AC HI-M-2.5H-7P\Chapter 8 - Introduction to Air Conditioning,0 hours 10 minutes and 1 seconds,117.28 GB and 120095.18 MB
9. Refrigirator and AC HI-M-2.5H-7P\Chapter 9 - Fault Findings and Its Solution,0 hours 8 minutes and 9 seconds,117.28 GB and 120095.18 MB
